Вариант 5: N=460 точек, размерность=4, seed=1185
Матрица расстояний 460x460 построена за 0.143 с
Задание: профилируйте эту программу (cProfile / line_profiler) и найдите,
сколько времени и почему уходит именно на compute_pairwise_distances().
         437809 function calls (437526 primitive calls) in 0.164 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       95    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       75    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      101    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        4    0.000    0.000    0.000    0.000 inspect.py:2057(_signature_is_builtin)
        2    0.000    0.000    0.000    0.000 _compiler.py:400(_mk_bitmap)
        4    0.000    0.000    0.000    0.000 annotationlib.py:853(_build_closure)
       20    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        5    0.000    0.000    0.000    0.000 dataclasses.py:424(_tuple_str)
        2    0.000    0.000    0.000    0.000 argparse.py:1575(_add_action)
       15    0.000    0.000    0.000    0.000 enum.py:1576(_get_value)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:466(_lock_unlock_module)
        5    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:996(_find_new_)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:648(parent)
       42    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1819(_prog_name)
       41    0.000    0.000    0.000    0.000 dataclasses.py:294(__init__)
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:473(__new__)
       29    0.000    0.000    0.000    0.000 enum.py:68(_is_internal_class)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 argparse.py:1209(_SubParsersAction)
       60    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       27    0.000    0.000    0.000    0.000 _parser.py:240(__next)
      119    0.000    0.000    0.000    0.000 inspect.py:2746(kind)
       35    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
        1    0.000    0.000    0.000    0.000 _colorize.py:210(Theme)
       45    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       46    0.000    0.000    0.000    0.000 enum.py:1146(__new__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        2    0.000    0.000    0.000    0.000 <string>:2(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:635(_format_args)
       41    0.000    0.000    0.000    0.000 dataclasses.py:756(_is_initvar)
        2    0.000    0.000    0.000    0.000 {built-in method posix.isatty}
       64    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       63    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 annotationlib.py:652(__init__)
       45    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        8    0.000    0.000    0.000    0.000 annotationlib.py:335(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:918(_check_for_existing_members_)
        5    0.000    0.000    0.000    0.000 <frozen os>:790(decode)
       42    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       78    0.000    0.000    0.000    0.000 inspect.py:2734(name)
       39    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        4    0.000    0.000    0.000    0.000 _compiler.py:221(_compile_charset)
        1    0.000    0.000    0.000    0.000 argparse.py:2599(_get_values)
        1    0.000    0.000    0.000    0.000 _zstdfile.py:20(ZstdFile)
        4    0.000    0.000    0.000    0.000 inspect.py:2404(_descriptor_get)
       25    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       14    0.000    0.000    0.000    0.000 _parser.py:293(tell)
        6    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
        5    0.000    0.000    0.000    0.000 dataclasses.py:536(_make_annotate_function)
       13    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       24    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       20    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        2    0.000    0.000    0.000    0.000 argparse.py:1744(_check_help)
        4    0.000    0.000    0.000    0.000 inspect.py:2071(_signature_is_functionlike)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
       20    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       16    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
        1    0.000    0.000    0.000    0.000 random.py:225(__init_subclass__)
       13    0.000    0.000    0.000    0.000 <frozen posixpath>:42(_get_sep)
       11    0.000    0.000    0.000    0.000 _parser.py:176(append)
       33    0.000    0.000    0.000    0.000 dataclasses.py:419(<genexpr>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:602(__init__)
       21    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       46    0.000    0.000    0.000    0.000 dataclasses.py:1169(<genexpr>)
       13    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
       27    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        5    0.000    0.000    0.000    0.000 reprlib.py:9(recursive_repr)
       21    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       12    0.000    0.000    0.000    0.000 inspect.py:184(isclass)
        3    0.000    0.000    0.000    0.000 _compiler.py:412(_simple)
       23    0.000    0.000    0.000    0.000 _parser.py:256(match)
        4    0.000    0.000    0.000    0.000 annotationlib.py:424(__get_ast)
       12    0.000    0.000    0.000    0.000 inspect.py:267(isfunction)
        1    0.000    0.000    0.000    0.000 argparse.py:2227(consume_positionals)
       26    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        3    0.000    0.000    0.000    0.000 argparse.py:1698(_get_handler)
        1    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
       14    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        1    0.000    0.000    0.000    0.000 argparse.py:967(__init__)
        3    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1841(ArgumentParser)
        1    0.000    0.000    0.000    0.000 argparse.py:1419(_ActionsContainer)
       33    0.000    0.000    0.000    0.000 dataclasses.py:1233(<genexpr>)
       10    0.000    0.000    0.000    0.000 _compiler.py:587(isstring)
        4    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       21    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:166(basename)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        2    0.000    0.000    0.000    0.000 argparse.py:880(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:1694(_pop_action_class)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1337(<genexpr>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(__init__)
        3    0.000    0.000    0.000    0.000 _compiler.py:421(_generate_overlap_table)
        2    0.000    0.000    0.000    0.000 functools.py:553(lru_cache)
        2    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
       41    0.000    0.000    0.000    0.000 dataclasses.py:762(_is_kw_only)
        2    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        5    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 argparse.py:1161(__init__)
        1    0.000    0.000    0.000    0.000 _colorize.py:115(ThemeSection)
        4    0.000    0.000    0.000    0.000 annotationlib.py:683(create_unique_name)
       18    0.000    0.000    0.000    0.000 dataclasses.py:420(<genexpr>)
        2    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        3    0.000    0.000    0.000    0.000 enum.py:947(_find_data_repr_)
        5    0.000    0.000    0.000    0.000 _parser.py:947(fix_flags)
